"query", "class"
"What is the current number of vacancies for permanent judges in the Rajasthan High Court for this year?", 22
"Can you provide the number of vacancies for permanent judges in the Rajasthan High Court for the current year?", 22
"How many vacancies for permanent judges are there currently in the Rajasthan High Court this year?", 22
"Please provide the current count of vacancies for permanent judges in the Rajasthan High Court for this year.", 22
"What is the total number of vacancies for permanent judges in the Rajasthan High Court for the current year?", 22
"How many permanent judge positions are vacant in the Rajasthan High Court for the current year?", 22
"Can I get the current count of vacancies for permanent judges in the Rajasthan High Court for this year?", 22
"What is the current number of vacant permanent judge positions in the Rajasthan High Court for this year?", 22
"What is the current number of vacancies for additional judges in the Rajasthan High Court for this year?", 23
"Can you provide the number of vacancies for additional judges in the Rajasthan High Court for the current year?", 23
"How many vacancies for additional judges are there currently in the Rajasthan High Court this year?", 23
"Please provide the current count of vacancies for additional judges in the Rajasthan High Court for this year.", 23
"What is the total number of vacancies for additional judges in the Rajasthan High Court for the current year?", 23
"How many additional judge positions are vacant in the Rajasthan High Court for the current year?", 23
"Can I get the current count of vacancies for additional judges in the Rajasthan High Court for this year?", 23
"What is the current number of vacant additional judge positions in the Rajasthan High Court for this year?", 23
"What is the current number of vacancies for judges in the Rajasthan High Court for this year?", 24
"Can you provide the number of vacancies for judges in the Rajasthan High Court for the current year?", 24
"How many vacancies for judges are there currently in the Rajasthan High Court this year?", 24
"Please provide the current count of vacancies for judges in the Rajasthan High Court for this year.", 24
"What is the total number of vacancies for judges in the Rajasthan High Court for the current year?", 24
"How many judge positions are vacant in the Rajasthan High Court for this year?", 24
"Can I get the current count of vacancies for judges in the Rajasthan High Court for this year?", 24
"What is the current number of vacant judge positions in the Rajasthan High Court for this year?", 24
"Can you provide the complete strength status and analysis of the Rajasthan High Court for the current year?", 25
"What is the overall strength status and analysis of the Rajasthan High Court for this year?", 25
"Please give a detailed analysis of the Rajasthan High Court’s strength for the current year.", 25
"What was the total strength status and analysis of the Rajasthan High Court for the current year?", 25
"Can you provide an overview of the Rajasthan High Court’s strength and analysis for the current year?", 25
"What is the complete analysis of the Rajasthan High Court’s strength for the current year?", 25
"Please provide a summary of the strength status and analysis of the Rajasthan High Court for the current year.", 25
"How has the overall strength of the Rajasthan High Court been analyzed for the current year?", 25
"What is the total number of judges in the Supreme Court for the current year?", 26
"Can you provide the judge strength in the Supreme Court for this year?", 26
"How many judges are currently in the Supreme Court this year?", 26
"Please provide the current judge strength in the Supreme Court for this year.", 26
"What is the total number of positions in the Supreme Court for the current year?", 26
"How many judge positions are there in the Supreme Court for this year?", 26
"Can I get the current count of judges in the Supreme Court for this year?", 26
"What is the current strength of judges in the Supreme Court for this year?", 26
"What is the total number of working judges in the Supreme Court for the current year?", 27
"Can you provide the working judge strength in the Supreme Court for this year?", 27
"How many judges are currently working in the Supreme Court this year?", 27
"Please provide the current working judge strength in the Supreme Court for this year.", 27
"What is the total number of working positions in the Supreme Court for the current year?", 27
"How many judge positions are currently occupied in the Supreme Court for this year?", 27
"Can I get the current count of working judges in the Supreme Court for this year?", 27
"What is the current working strength of judges in the Supreme Court for this year?", 27
"What is the total number of vacancies in the Supreme Court for the current year?", 28
"Can you provide the number of vacancies in the Supreme Court for this year?", 28
"How many vacancies are there currently in the Supreme Court this year?", 28
"Please provide the current count of vacancies in the Supreme Court for this year.", 28
"What is the total number of vacant judge positions in the Supreme Court for the current year?", 28
"How many judge positions are vacant in the Supreme Court for this year?", 28
"Can I get the current count of vacancies in the Supreme Court for this year?", 28
"What is the current number of vacant positions in the Supreme Court for this year?", 28
"Can you provide the complete strength status and analysis of the Supreme Court for the current year?", 29
"What is the overall strength status and analysis of the Supreme Court for this year?", 29
"Please give a detailed analysis of the Supreme Court’s strength for the current year.", 29
"What was the total strength status and analysis of the Supreme Court for the current year?", 29
"Can you provide an overview of the Supreme Court’s strength and analysis for the current year?", 29
"What is the complete analysis of the Supreme Court’s strength for the current year?", 29
"Please provide a summary of the strength status and analysis of the Supreme Court for the current year.", 29
"How has the overall strength of the Supreme Court been analyzed for the current year?", 29
